feedback,sentiment
"Very disappointed, the issue was not fixed.",0
"Great experience, issue was resolved quickly.",1
"Poor experience, had to escalate multiple times.",0
"Highly recommend, fantastic customer support.",1
"Frustrating service, would not recommend.",0
"Unhelpful support team, wasted my time.",0
The service was excellent and prompt.,1
"Highly recommend, fantastic customer support.",1
Smooth process and helpful staff.,1
Smooth process and helpful staff.,1
Very satisfied with the resolution provided.,1
Smooth process and helpful staff.,1
The service was excellent and prompt.,1
"Unhelpful support team, wasted my time.",0
"Highly recommend, fantastic customer support.",1
Very satisfied with the resolution provided.,1
Smooth process and helpful staff.,1
The service was excellent and prompt.,1
"Great experience, issue was resolved quickly.",1
Smooth process and helpful staff.,1
"Great experience, issue was resolved quickly.",1
Smooth process and helpful staff.,1
"Great experience, issue was resolved quickly.",1
"Unhelpful support team, wasted my time.",0
The service was excellent and prompt.,1
"Very disappointed, the issue was not fixed.",0
Very satisfied with the resolution provided.,1
"Frustrating service, would not recommend.",0
Very satisfied with the resolution provided.,1
Very satisfied with the resolution provided.,1
Smooth process and helpful staff.,1
The service was excellent and prompt.,1
The service was excellent and prompt.,1
"Great experience, issue was resolved quickly.",1
Very satisfied with the resolution provided.,1
"Highly recommend, fantastic customer support.",1
"Great experience, issue was resolved quickly.",1
Smooth process and helpful staff.,1
"Unhelpful support team, wasted my time.",0
Very satisfied with the resolution provided.,1
"Very disappointed, the issue was not fixed.",0
"Terrible service, took too long to resolve.",0
Very satisfied with the resolution provided.,1
"Great experience, issue was resolved quickly.",1
Smooth process and helpful staff.,1
"Unhelpful support team, wasted my time.",0
"Unhelpful support team, wasted my time.",0
Very satisfied with the resolution provided.,1
"Highly recommend, fantastic customer support.",1
"Great experience, issue was resolved quickly.",1
Smooth process and helpful staff.,1
"Poor experience, had to escalate multiple times.",0
The service was excellent and prompt.,1
Smooth process and helpful staff.,1
"Terrible service, took too long to resolve.",0
Smooth process and helpful staff.,1
Smooth process and helpful staff.,1
Very satisfied with the resolution provided.,1
"Poor experience, had to escalate multiple times.",0
"Terrible service, took too long to resolve.",0
Smooth process and helpful staff.,1
"Great experience, issue was resolved quickly.",1
Smooth process and helpful staff.,1
"Frustrating service, would not recommend.",0
"Highly recommend, fantastic customer support.",1
"Frustrating service, would not recommend.",0
"Great experience, issue was resolved quickly.",1
The service was excellent and prompt.,1
"Great experience, issue was resolved quickly.",1
"Highly recommend, fantastic customer support.",1
The service was excellent and prompt.,1
Very satisfied with the resolution provided.,1
"Great experience, issue was resolved quickly.",1
"Unhelpful support team, wasted my time.",0
"Unhelpful support team, wasted my time.",0
"Highly recommend, fantastic customer support.",1
"Great experience, issue was resolved quickly.",1
"Highly recommend, fantastic customer support.",1
Smooth process and helpful staff.,1
The service was excellent and prompt.,1
"Terrible service, took too long to resolve.",0
"Very disappointed, the issue was not fixed.",0
"Very disappointed, the issue was not fixed.",0
Smooth process and helpful staff.,1
The service was excellent and prompt.,1
Smooth process and helpful staff.,1
"Frustrating service, would not recommend.",0
"Unhelpful support team, wasted my time.",0
The service was excellent and prompt.,1
The service was excellent and prompt.,1
Very satisfied with the resolution provided.,1
"Unhelpful support team, wasted my time.",0
Smooth process and helpful staff.,1
"Great experience, issue was resolved quickly.",1
"Frustrating service, would not recommend.",0
The service was excellent and prompt.,1
Very satisfied with the resolution provided.,1
Very satisfied with the resolution provided.,1
Very satisfied with the resolution provided.,1
"Highly recommend, fantastic customer support.",1
Smooth process and helpful staff.,1
"Great experience, issue was resolved quickly.",1
"Frustrating service, would not recommend.",0
Very satisfied with the resolution provided.,1
The service was excellent and prompt.,1
"Great experience, issue was resolved quickly.",1
"Frustrating service, would not recommend.",0
"Unhelpful support team, wasted my time.",0
Smooth process and helpful staff.,1
"Frustrating service, would not recommend.",0
The service was excellent and prompt.,1
The service was excellent and prompt.,1
"Great experience, issue was resolved quickly.",1
"Poor experience, had to escalate multiple times.",0
"Terrible service, took too long to resolve.",0
"Great experience, issue was resolved quickly.",1
"Unhelpful support team, wasted my time.",0
"Great experience, issue was resolved quickly.",1
The service was excellent and prompt.,1
"Highly recommend, fantastic customer support.",1
"Very disappointed, the issue was not fixed.",0
"Poor experience, had to escalate multiple times.",0
"Frustrating service, would not recommend.",0
"Great experience, issue was resolved quickly.",1
The service was excellent and prompt.,1
Smooth process and helpful staff.,1
"Poor experience, had to escalate multiple times.",0
The service was excellent and prompt.,1
Smooth process and helpful staff.,1
"Poor experience, had to escalate multiple times.",0
Smooth process and helpful staff.,1
"Highly recommend, fantastic customer support.",1
Very satisfied with the resolution provided.,1
"Great experience, issue was resolved quickly.",1
"Poor experience, had to escalate multiple times.",0
"Very disappointed, the issue was not fixed.",0
"Great experience, issue was resolved quickly.",1
"Frustrating service, would not recommend.",0
"Great experience, issue was resolved quickly.",1
Very satisfied with the resolution provided.,1
Smooth process and helpful staff.,1
"Highly recommend, fantastic customer support.",1
"Terrible service, took too long to resolve.",0
Smooth process and helpful staff.,1
Smooth process and helpful staff.,1
Smooth process and helpful staff.,1
The service was excellent and prompt.,1
The service was excellent and prompt.,1
"Highly recommend, fantastic customer support.",1
The service was excellent and prompt.,1
The service was excellent and prompt.,1
"Great experience, issue was resolved quickly.",1
"Highly recommend, fantastic customer support.",1
Smooth process and helpful staff.,1
"Highly recommend, fantastic customer support.",1
Very satisfied with the resolution provided.,1
"Highly recommend, fantastic customer support.",1
"Terrible service, took too long to resolve.",0
Very satisfied with the resolution provided.,1
Smooth process and helpful staff.,1
"Highly recommend, fantastic customer support.",1
"Great experience, issue was resolved quickly.",1
"Highly recommend, fantastic customer support.",1
Very satisfied with the resolution provided.,1
"Highly recommend, fantastic customer support.",1
"Poor experience, had to escalate multiple times.",0
"Terrible service, took too long to resolve.",0
"Unhelpful support team, wasted my time.",0
"Frustrating service, would not recommend.",0
"Highly recommend, fantastic customer support.",1
The service was excellent and prompt.,1
"Highly recommend, fantastic customer support.",1
Smooth process and helpful staff.,1
"Frustrating service, would not recommend.",0
"Terrible service, took too long to resolve.",0
"Unhelpful support team, wasted my time.",0
Smooth process and helpful staff.,1
Smooth process and helpful staff.,1
"Unhelpful support team, wasted my time.",0
Very satisfied with the resolution provided.,1
"Poor experience, had to escalate multiple times.",0
"Great experience, issue was resolved quickly.",1
"Unhelpful support team, wasted my time.",0
The service was excellent and prompt.,1
"Great experience, issue was resolved quickly.",1
The service was excellent and prompt.,1
